q,a
Molybdenum,elecrolyte(concentration):NaOH(180 g/l)/NaCL or KCL(300 g/l),
Grey iron,elecrolyte(concentration):NaCl(300 g/l)/NaNo3(600(g/l),
Zirconium,elecrolyte(concentration):NaCL or KCL(300 g/l),
White cast iron,elecrolyte(concentration):NaNo3(600(g/l),
Hardned tool steel,elecrolyte(concentration):NaCIO3(780(g/l),
Titanium,elecrolyte(concentration):NaCL or KCL(120 g/l),
Iron,elecrolyte(concentration):NaNo3(600(g/l)/NaCL or KCL(300 g/l),
Nickel,elecrolyte(concentration):NaNo3(600(g/l)/NaCL or KCL(300 g/l),
Cobalt,elecrolyte(concentration):NaNo3(600(g/l)/NaCL or KCL(300 g/l),
Copper,elecrolyte(concentration):NaNo3(600(g/l)/NaCL or KCL(300 g/l),
